Dataset,Attack,PR_level,PR,BA,ASR,l1,l2,l_inf,MSE,PSNR,SSIM,LPIPS,IS,pHash,SAM,SS,DSWD,CDBI,UCLC,TAC,TUP
Imagenette,adaptive_blend,high,0.05,87.6,94.9,1640.0,13.9,0.198,0.0102,19.9,0.697,0.203,3.09,89.9,0.0969,0.063,1.26,3.0,5.08,5.61,3.29
Imagenette,adaptive_blend,low,0.003,88.5,54.4,1640.0,13.9,0.198,0.0102,19.9,0.697,0.203,3.09,89.9,0.0969,-0.0657,0.965,12.3,5.67,4.71,2.45
CIFAR-10,dfst,high,0.05,95.0,100.0,487.0,10.8,0.489,0.04,14.0,0.719,0.165,2.22,88.6,0.316,0.519,2.26,0.65,6.16,6.41,3.7
CIFAR-10,dfst,low,0.003,94.8,100.0,487.0,10.8,0.489,0.04,14.0,0.719,0.165,2.22,88.6,0.316,0.339,2.63,0.55,6.37,11.8,4.47
CIFAR-100,dfst,high,0.05,73.6,100.0,509.0,11.3,0.495,0.0444,13.5,0.708,0.169,2.16,87.7,0.312,0.509,1.34,0.475,4.28,11.9,8.91
CIFAR-100,dfst,low,0.003,73.6,99.9,509.0,11.3,0.495,0.0444,13.5,0.708,0.169,2.16,87.7,0.312,0.73,1.93,0.26,5.69,15.4,11.1
Tiny-ImageNet,dfst,high,0.05,59.23,100.0,1970.0,22.16,0.53,0.0418,13.83,0.68,0.32,1.72,87.87,0.31,0.485,1.707,0.475,4.35,26.05,3.063
Tiny-ImageNet,dfst,low,0.003,58.79,99.84,1970.0,22.16,0.53,0.0418,13.83,0.68,0.32,1.72,87.87,0.31,0.63,1.74,0.353,5.12,30.0,3.093
Imagenette,dfst,high,0.05,88.7,99.5,3220.0,28.9,0.532,0.0456,13.5,0.692,0.335,1.52,88.1,0.334,0.641,2.2,0.476,6.29,18.9,3.81
Imagenette,dfst,low,0.003,88.4,99.7,3220.0,28.9,0.532,0.0456,13.5,0.692,0.335,1.52,88.1,0.334,0.261,2.15,0.934,4.61,10.8,4.43
CIFAR-10,narcissus,high,0.05,94.4,100.0,542.0,9.98,0.188,0.0325,14.9,0.532,0.184,3.68,82.2,0.331,0.491,2.23,0.767,7.37,6.23,2.15
CIFAR-10,narcissus,low,0.003,94.7,98.9,542.0,9.98,0.188,0.0325,14.9,0.532,0.184,3.68,82.2,0.331,-0.007,1.9,5.92,6.88,2.15,2.13
CIFAR-100,narcissus,high,0.05,73.0,70.9,528.0,9.82,0.188,0.0315,15.0,0.63,0.166,2.22,84.6,0.347,0.0743,0.945,3.47,6.19,6.25,8.75
CIFAR-100,narcissus,low,0.003,72.8,33.1,528.0,9.82,0.188,0.0315,15.0,0.63,0.166,2.22,84.6,0.347,0.062,0.852,4.34,5.44,3.78,8.48
Tiny-ImageNet,narcissus,high,0.05,59.04,98.82,3290.0,33.31,0.59,0.0905,10.43,0.36,0.56,4.73,70.98,0.5,0.314,1.977,1.107,4.28,35.86,3.192
Tiny-ImageNet,narcissus,low,0.003,58.97,98.97,3290.0,33.31,0.59,0.0905,10.43,0.36,0.56,4.73,70.98,0.5,0.302,1.703,1.434,4.33,27.24,3.25
Imagenette,narcissus,high,0.05,87.8,86.1,3310.0,24.6,0.188,0.0317,15.0,0.615,0.428,3.37,82.8,0.268,0.0431,1.34,4.27,5.41,5.59,2.64
Imagenette,narcissus,low,0.003,88.7,13.6,3310.0,24.6,0.188,0.0317,15.0,0.615,0.428,3.37,82.8,0.268,-0.0164,0.883,7.54,6.42,4.64,2.13
CIFAR-10,grond,high,0.05,94.7,92.9,87.6,1.62,0.0348,0.000859,30.7,0.934,0.00292,0.918,97.9,0.0833,0.435,1.82,0.868,3.6,2.43,1.87
CIFAR-10,grond,low,0.003,94.5,76.6,87.6,1.62,0.0348,0.000859,30.7,0.934,0.00292,0.918,97.9,0.0833,-0.101,1.65,5.81,3.18,2.3,1.78
CIFAR-100,grond,high,0.05,74.7,58.7,86.9,1.61,0.0347,0.00085,30.7,0.929,0.00497,0.876,97.9,0.072,0.233,0.861,1.95,3.78,6.0,8.86
CIFAR-100,grond,low,0.003,74.7,43.5,86.9,1.61,0.0347,0.00085,30.7,0.929,0.00497,0.876,97.9,0.072,0.208,0.786,1.53,4.1,4.32,8.64
Tiny-ImageNet,grond,high,0.05,59.02,76.32,671.95,6.31,0.0667,0.00325,24.89,0.8,0.16,1.68,96.83,0.17,0.327,1.122,1.074,4.33,21.89,3.236
Tiny-ImageNet,grond,low,0.003,58.68,74.29,671.95,6.31,0.0667,0.00325,24.89,0.8,0.16,1.68,96.83,0.17,0.355,1.071,1.19,4.33,23.79,3.368
Imagenette,grond,high,0.05,87.0,60.2,476.0,3.66,0.0352,0.0007,31.6,0.882,0.0482,1.02,99.1,0.0521,0.0308,1.05,24.0,3.14,4.2,1.61
Imagenette,grond,low,0.003,87.4,1.81,476.0,3.66,0.0352,0.0007,31.6,0.882,0.0482,1.02,99.1,0.0521,0.0546,0.286,12.4,3.73,2.19,1.05
CIFAR-10,dfba,none,,94.3,100.0,13.5,2.99,0.844,0.00294,25.3,0.992,0.00166,0.159,97.4,0.00283,,15.2,,17.8,413.0,10.2
CIFAR-100,dfba,none,,72.0,100.0,13.5,3.02,0.843,0.00304,25.2,0.993,0.00774,0.146,95.9,0.00418,,18.0,,17.7,413.0,10.6
Tiny-ImageNet,dfba,none,,55.95,100.0,13.34,3.01,0.87,0.000749,31.26,0.99,0.00209,0.0442,99.59,0.00134,,10.74,,21.17,959.33,3.917
Imagenette,dfba,none,,87.6,100.0,13.5,3.05,0.855,0.00049,33.1,0.999,0.00207,0.0312,99.8,0.000893,,4.64,,18.7,959.0,13.5
